0x3E90	3E90 Kurbelwellengeber, Signal
0x4296	4296 Lambdasonde
0x4298	4298 Lambdasonde
0x429A	429A Ladedruckregelung Niederdruckstufe, Regelabweichung
0x42B1	42B1 Gluehrelais
0x42B2	42B2 Gluehrelais
0x42B5	42B5 Drehzahlueberwachung
0x42C0	42C0 Oeldruck-Kontrollleuchte, Ansteuerung
0x42C1	42C1 Oeldruck-Kontrollleuchte, Ansteuerung
0x42C2	42C2 Oeldruck-Kontrollleuchte, Ansteuerung
0x42C3	42C3 Oeldruck-Kontrollleuchte, Ansteuerung
0x42C7	42C7 Ueberwachung ZMS Oszillation
0x42D0	42D0 Power Stage fault status for MIL (nv)
0x42D1	42D1 Power Stage fault status for MIL (nv)
0x42D2	42D2 Power Stage fault status for MIL (nv)
0x42D3	42D3 Power Stage fault status for MIL (nv)
0x42E2	42E2 Umschaltung Raildruckregelung PCV
0x42F2	42F2 Umschaltung Raildruckregelung MeUn
0x4302	4302 Mengenregelventil, Ansteuerung
0x4303	4303 Mengenregelventil, Ansteuerung
0x4310	4310 Mengenregelventil, Ansteuerung
0x4321	4321 Mengenregelventil, Ansteuerung
0x4325	4325 Botschaft (DREHMOMENT_ANF_SSG, 0xBD)
0x4326	4326 Botschaft (DREHMOMENT_ANF_SSG, 0xBD)
0x4327	4327 Botschaft (DREHMOMENT_ANF_SSG, 0xBD)
0x4328	4328 Botschaft (DREHMOMENT_ANF_SSG, 0xBD)
0x4332	4332 Raildruckregelventil, Ansteuerung
0x4333	4333 Raildruckregelventil, Ansteuerung
0x4335	4335 Kuehlerjalousie (gesteuerte Niere), Ansteuerung
0x4336	4336 Kuehlerjalousie (gesteuerte Niere), Ansteuerung
0x4337	4337 Kuehlerjalousie (gesteuerte Niere), Ansteuerung
0x4338	4338 Kuehlerjalousie (gesteuerte Niere), Ansteuerung
0x4340	4340 Raildruckregelventil, Ansteuerung
0x4351	4351 Raildruckregelventil, Ansteuerung
0x4360	4360 Stromregelung fuer Raildruckregelventil
0x4361	4361 Stromregelung fuer Raildruckregelventil
0x4362	4362 Stromregelung fuer Raildruckregelventil
0x437D	437D Drehmomentueberwachung DCC
0x4382	4382 Raildruckregelventil Stellertest
0x438A	438A Botschaft (ANF_RADMOM_PT, 0xBF)
0x438B	438B Botschaft (ANF_RADMOM_PT, 0xBF)
0x438C	438C Botschaft (ANF_RADMOM_PT, 0xBF)
0x438D	438D Botschaft (ANF_RADMOM_PT, 0xBF)
0x4390	4390 Ladelufttemperatursensor, Signal
0x4391	4391 Ladelufttemperatursensor, Signal
0x4392	4392 Ladelufttemperatursensor, Signal
0x4397	4397 Mengenregelventil Stellertest
0x439C	439C Ladedrucksteller, Fenster 4
0x43A0	43A0 Anlasssperr-Relais, Ansteuerung
0x43A1	43A1 Anlasssperr-Relais, Ansteuerung
0x43A2	43A2 Anlasssperr-Relais, Ansteuerung
0x43A3	43A3 Anlasssperr-Relais, Ansteuerung
0x43B0	43B0 Power Stage fault status for System lamp (nv)
0x43B1	43B1 Power Stage fault status for System lamp (nv)
0x43B2	43B2 Power Stage fault status for System lamp (nv)
0x43B3	43B3 Power Stage fault status for System lamp (nv)
0x43C0	43C0 Drosselklappensteller, Ansteuerung
0x43D1	43D1 Drosselklappensteller, Ansteuerung
0x43E2	43E2 Drosselklappensteller, Ansteuerung
0x43E3	43E3 Drosselklappensteller, Ansteuerung
0x43EA	43EA Mengenmittelwertadaption
0x43EB	43EB Mengenmittelwertadaption
0x43ED	43ED Mengenmittelwertadaption
0x43EF	43EF Vorfoerderdrucksensor, Offsetest
0x43F0	43F0 Elektrischer Zuheizer, Ansteuerung
0x43F1	43F1 Elektrischer Zuheizer, Ansteuerung
0x43F2	43F2 Elektrischer Zuheizer, Ansteuerung
0x43F3	43F3 Elektrischer Zuheizer, Ansteuerung
0x43FD	43FD Lambdasonde
0x43FF	43FF Kraftstofftemperatursensor, Plausibilitaet
0x4403	4403 Steuergeraet intern 17
0x440A	440A Lambdasonde
0x440B	440B Lambdasonde
0x4410	4410 Injektor Zylinder 1, Ansteuerung
0x4411	4411 Injektor Zylinder 1, Ansteuerung
0x4412	4412 Injektor Zylinder 1, Ansteuerung
0x4413	4413 Injektor Zylinder 1, Ansteuerung
0x441A	441A Injektor Zylinder 1, Ansteuerung
0x441B	441B Injektor Zylinder 1, Ansteuerung
0x441C	441C Injektor Zylinder 1, Ansteuerung
0x441D	441D Injektor Zylinder 1, Ansteuerung
0x4420	4420 Injektor Zylinder 2, Ansteuerung
0x4421	4421 Injektor Zylinder 2, Ansteuerung
0x4422	4422 Injektor Zylinder 2, Ansteuerung
0x4423	4423 Injektor Zylinder 2, Ansteuerung
0x442A	442A Injektor Zylinder 2, Ansteuerung
0x442B	442B Injektor Zylinder 2, Ansteuerung
0x442C	442C Injektor Zylinder 2, Ansteuerung
0x442D	442D Injektor Zylinder 2, Ansteuerung
0x4430	4430 Injektor Zylinder 3, Ansteuerung
0x4431	4431 Injektor Zylinder 3, Ansteuerung
0x4432	4432 Injektor Zylinder 3, Ansteuerung
0x4433	4433 Injektor Zylinder 3, Ansteuerung
0x443A	443A Injektor Zylinder 3, Ansteuerung
0x443B	443B Injektor Zylinder 3, Ansteuerung
0x443C	443C Injektor Zylinder 3, Ansteuerung
0x443D	443D Injektor Zylinder 3, Ansteuerung
0x4440	4440 Injektor Zylinder 4, Ansteuerung
0x4441	4441 Injektor Zylinder 4, Ansteuerung
0x4442	4442 Injektor Zylinder 4, Ansteuerung
0x4443	4443 Injektor Zylinder 4, Ansteuerung
0x4445	4445 Botschaft (DREHMOMENT_ANF_AFS, 0xB9)
0x4446	4446 Botschaft (DREHMOMENT_ANF_AFS, 0xB9)
0x4447	4447 Botschaft (DREHMOMENT_ANF_AFS, 0xB9)
0x4448	4448 Botschaft (DREHMOMENT_ANF_AFS, 0xB9)
0x444A	444A Injektor Zylinder 4, Ansteuerung
0x444B	444B Injektor Zylinder 4, Ansteuerung
0x444C	444C Injektor Zylinder 4, Ansteuerung
0x444D	444D Injektor Zylinder 4, Ansteuerung
0x4450	4450 Injektor Zylinder 5, Ansteuerung
0x4451	4451 Injektor Zylinder 5, Ansteuerung
0x4452	4452 Injektor Zylinder 5, Ansteuerung
0x4453	4453 Injektor Zylinder 5, Ansteuerung
0x4457	4457 Botschaft (LENKRADWINKEL, 0xC4)
0x4458	4458 Botschaft (LENKRADWINKEL, 0xC4)
0x445A	445A Injektor Zylinder 5, Ansteuerung
0x445B	445B Injektor Zylinder 5, Ansteuerung
0x445C	445C Injektor Zylinder 5, Ansteuerung
0x445D	445D Injektor Zylinder 5, Ansteuerung
0x4460	4460 Injektor Zylinder 6, Ansteuerung
0x4461	4461 Injektor Zylinder 6, Ansteuerung
0x4462	4462 Injektor Zylinder 6, Ansteuerung
0x4463	4463 Injektor Zylinder 6, Ansteuerung
0x446A	446A Injektor Zylinder 6, Ansteuerung
0x446B	446B Injektor Zylinder 6, Ansteuerung
0x446C	446C Injektor Zylinder 6, Ansteuerung
0x446D	446D Injektor Zylinder 6, Ansteuerung
0x4473	4473 Steuergeraet intern 18
0x447A	447A Lambdasonde
0x447B	447B Lambdasonde
0x4480	4480 Steuergeraet intern 19
0x448A	448A Lambdasonde
0x448B	448B Lambdasonde
0x4491	4491 Steuergeraet intern 20
0x449A	449A Ladedrucksteller
0x449B	449B Ladedrucksteller
0x449D	449D Ladedrucksteller
0x44A0	44A0 Injektoren Bank 1, Ansteuerung
0x44A1	44A1 Injektoren Bank 1, Ansteuerung
0x44A2	44A2 Injektoren Bank 1, Ansteuerung
0x44A3	44A3 Injektoren Bank 1, Ansteuerung
0x44A5	44A5 Nullmengenadaption Injektor Zylinder 1
0x44A6	44A6 Nullmengenadaption Injektor Zylinder 1
0x44A7	44A7 Nullmengenadaption Injektor Zylinder 1
0x44A8	44A8 Nullmengenadaption Injektor Zylinder 1
0x44AA	44AA Injektoren Bank 1, Ansteuerung
0x44AB	44AB Injektoren Bank 1, Ansteuerung
0x44AC	44AC Injektoren Bank 1, Ansteuerung
0x44AD	44AD Injektoren Bank 1, Ansteuerung
0x44B0	44B0 Injektoren Bank 2, Ansteuerung
0x44B1	44B1 Injektoren Bank 2, Ansteuerung
0x44B2	44B2 Injektoren Bank 2, Ansteuerung
0x44B3	44B3 Injektoren Bank 2, Ansteuerung
0x44B5	44B5 Nullmengenadaption Injektor Zylinder 2
0x44B6	44B6 Nullmengenadaption Injektor Zylinder 2
0x44B7	44B7 Nullmengenadaption Injektor Zylinder 2
0x44B8	44B8 Nullmengenadaption Injektor Zylinder 2
0x44BA	44BA Injektoren Bank 2, Ansteuerung
0x44BB	44BB Injektoren Bank 2, Ansteuerung
0x44BC	44BC Injektoren Bank 2, Ansteuerung
0x44BD	44BD Injektoren Bank 2, Ansteuerung
0x44C0	44C0 Anzahl gewuenschter Einspritzungen begrenzt
0x44C1	44C1 Anzahl gewuenschter Einspritzungen begrenzt
0x44C2	44C2 Anzahl gewuenschter Einspritzungen begrenzt
0x44C5	44C5 Nullmengenadaption Injektor Zylinder 3
0x44C6	44C6 Nullmengenadaption Injektor Zylinder 3
0x44C7	44C7 Nullmengenadaption Injektor Zylinder 3
0x44C8	44C8 Nullmengenadaption Injektor Zylinder 3
0x44CC	44CC Ladedrucksteller
0x44D5	44D5 Nullmengenadaption Injektor Zylinder 4
0x44D6	44D6 Nullmengenadaption Injektor Zylinder 4
0x44D7	44D7 Nullmengenadaption Injektor Zylinder 4
0x44D8	44D8 Nullmengenadaption Injektor Zylinder 4
0x44DC	44DC Ladedrucksteller
0x44E5	44E5 Nullmengenadaption Injektor Zylinder 5
0x44E6	44E6 Nullmengenadaption Injektor Zylinder 5
0x44E7	44E7 Nullmengenadaption Injektor Zylinder 5
0x44E8	44E8 Nullmengenadaption Injektor Zylinder 5
0x44EC	44EC Ladedrucksteller, Ansteuerung
0x44F5	44F5 Nullmengenadaption Injektor Zylinder 6
0x44F6	44F6 Nullmengenadaption Injektor Zylinder 6
0x44F7	44F7 Nullmengenadaption Injektor Zylinder 6
0x44F8	44F8 Nullmengenadaption Injektor Zylinder 6
0x44FC	44FC Ladedrucksteller
0x4501	4501 Abgasrueckfuehr-Regelung, Regelabweichung
0x4507	4507 Abgasrueckfuehr-Regelung, Regelabweichung
0x450A	450A Abgastemperatur-Regelung vor Kat, Regelabweichung
0x450B	450B Abgastemperatur-Regelung vor Kat, Regelabweichung
0x451A	451A Abgastemperatur-Regelung vor Partikelfilter, Regelabweichung
0x451B	451B Abgastemperatur-Regelung vor Partikelfilter, Regelabweichung
0x4521	4521 Ladedruckregelung, Regelabweichung
0x452A	452A Partikelfiltersystem
0x4530	4530 Ladedruckregelung, Regelabweichung
0x453B	453B Power Train CAN Bus
0x453C	453C Power Train CAN Bus
0x453D	453D Power Train CAN Bus
0x455A	455A Stromregelung fuer Motorlager, Analogwerterfassung
0x455B	455B Stromregelung fuer Motorlager, Analogwerterfassung
0x4560	4560 Raildruck-Plausibilitaet mengengeregelt
0x4567	4567 Botschaft (CODIERUNG_PM, 0x395)
0x4568	4568 Botschaft (CODIERUNG_PM, 0x395)
0x456A	456A Stromregelung fuer Motorlager 2, Analogwerterfassung
0x456B	456B Stromregelung fuer Motorlager 2, Analogwerterfassung
0x4570	4570 Raildruck-Plausibilitaet mengengeregelt
0x4577	4577 Botschaft (CTR_CRASH_SWO_EKP, 0x135)
0x4578	4578 Botschaft (CTR_CRASH_SWO_EKP, 0x135)
0x457A	457A Abgastemperatur vor Kat, Plausibilitaet
0x457D	457D Abgastemperatur vor Kat, Plausibilitaet
0x4580	4580 Raildruck-Plausibilitaet mengengeregelt
0x4587	4587 Kraftstofffilter
0x458A	458A Abgastemperatur vor Kat waehrend Regeneration, Plausibilitaet
0x4590	4590 Raildruck-Plausibilitaet mengengeregelt
0x4597	4597 Botschaft (PRGG_CCTR, 0x331)
0x4598	4598 Botschaft (PRGG_CCTR, 0x331)
0x459A	459A Abgastemperatur vor Partikelfilter, Plausibilitaet
0x459D	459D Abgastemperatur vor Partikelfilter, Plausibilitaet
0x45A0	45A0 Raildruck-Plausibilitaet mengengeregelt
0x45AA	45AA Abgastemperatur vor Partikelfilter waehrend Regeneration, Plausibilitaet
0x45E3	45E3 Ueberwachung Master/Slave
0x45F2	45F2 Ueberwachung Master/Slave
0x45F3	45F3 Ueberwachung Master/Slave
0x45F5	45F5 Botschaft (DREHMOMENT_ANF_ACC, 0xB7)
0x45F6	45F6 Botschaft (DREHMOMENT_ANF_ACC, 0xB7)
0x45F7	45F7 Botschaft (DREHMOMENT_ANF_ACC, 0xB7)
0x45F8	45F8 Botschaft (DREHMOMENT_ANF_ACC, 0xB7)
0x4600	4600 Raildruck-Plausibilitaet druckgeregelt
0x4605	4605 Partikelfiltersystem
0x4610	4610 Raildruck-Plausibilitaet druckgeregelt
0x4618	4618 Umgebungsdrucksensor (im Steuergeraet verbaut)
0x4620	4620 Raildruck-Plausibilitaet druckgeregelt
0x4628	4628 Partikelfiltersystem
0x4630	4630 Raildruck-Plausibilitaet druckgeregelt
0x4637	4637 Botschaft (ParkConsumer, 0x?)
0x4638	4638 Botschaft (ParkConsumer, 0x?)
0x4640	4640 Raildruck-Plausibilitaet druckgeregelt
0x4645	4645 Abgasrueckfuehrsteller
0x4650	4650 Raildruck-Plausibilitaet druckgeregelt (nv)
0x4656	4656 Steuergeraet intern 24
0x4660	4660 Versorgungsspannung
0x4661	4661 Versorgungsspannung
0x4665	4665 Partikelfiltersystem
0x4666	4666 Partikelfiltersystem
0x4667	4667 Partikelfiltersystem
0x4670	4670 Speisespannung 1
0x4671	4671 Speisespannung 1
0x4677	4677 Drosselklappensteller
0x4680	4680 Speisespannung 2
0x4681	4681 Speisespannung 2
0x4687	4687 Drosselklappensteller
0x4690	4690 Speisespannung 3
0x4691	4691 Speisespannung 3
0x4697	4697 Drosselklappensteller
0x46A0	46A0 Steuergeraet intern 1
0x46A1	46A1 Steuergeraet intern 1
0x46A2	46A2 Steuergeraet intern 1
0x46A3	46A3 Steuergeraet intern 1
0x46A7	46A7 Drallklappensteller
0x46B0	46B0 Steuergeraet intern 2
0x46B1	46B1 Steuergeraet intern 2
0x46B2	46B2 Steuergeraet intern 2
0x46B3	46B3 Steuergeraet intern 2
0x46B7	46B7 Drallklappensteller
0x46C0	46C0 Steuergeraet intern 3
0x46C1	46C1 Steuergeraet intern 3
0x46C7	46C7 Drallklappensteller
0x46D0	46D0 Steuergeraet intern 4
0x46D1	46D1 Steuergeraet intern 4
0x46D2	46D2 Steuergeraet intern 4
0x46D3	46D3 Steuergeraet intern 4
0x46D5	46D5 Verdichter-Bypassklappe, Ansteuerung
0x46D6	46D6 Verdichter-Bypassklappe, Ansteuerung
0x46D7	46D7 Verdichter-Bypassklappe, Ansteuerung
0x46D8	46D8 Verdichter-Bypassklappe, Ansteuerung
0x46E5	46E5 Wastegate-Ventil, Ansteuerung
0x46EA	46EA Diagnosemodus Hochdrucktest
0x46F6	46F6 Wastegate-Ventil, Ansteuerung
0x4703	4703 Steuergeraet intern 7
0x4707	4707 Wastegate-Ventil, Ansteuerung
0x4708	4708 Wastegate-Ventil, Ansteuerung
0x4711	4711 Steuergeraet intern 8
0x4712	4712 Steuergeraet intern 8
0x4713	4713 Steuergeraet intern 8
0x4715	4715 Dummyfehler 1
0x4716	4716 Dummyfehler 1
0x4717	4717 Dummyfehler 1
0x4718	4718 Dummyfehler 1
0x471A	471A Motoroel, kritische Oelmasse
